leadId,companyName,region,city,cig,amount,object,category,awardDate,officialSource,winnerIdentified,phone,email,website,actionable,tier,insuranceNeed,estimateKind,contractType,origin,reviewer,reviewed_at,notes
ingest-veneto-9786127778,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,VICENZA,9786127778,1801800.0,G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACQUEVENETE - LOTTO 1 APPALTO FINANZIATO DAL PNRR M2C4-I4.2_197 - MIT,GARE_MEDIUM,2024-01-17,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-97898328EE,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,VICENZA,97898328EE,1144000.0,G23-F4209 PNRR FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACEGASAPSAMGA - LOTTO 2 APPALTO FINANZIATO DAL PNRR M2C4-I4.2_197 - MIT,GARE_MEDIUM,2024-01-17,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9789843204,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,VICENZA,9789843204,903500.0,G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA VIACQUA - LOTTO 3 APPALTO FINANZIATO DAL PNRR M2C4-I4.2_197 - MIT,GARE_MEDIUM,2024-01-17,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9841918FA6,TEC.AM SRL,Veneto,VERONA,9841918FA6,164058.1,FOPIPING23 - AFFIDAMENTO DELLA FORNITURA E POSA NUOVO PIPING DELL’IMPIANTO DI SOLLEVAMENTO FOGNARIO “8M” SITO IN VIA GIOVANNI DUCA (VR) – IM03091001,NON_CLASSIFICATO,2024-01-19,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9831706474,FORINT SPA,Veneto,VICENZA,9831706474,150000.0,FORNITURA DI VESTIARIO ESTIVO E INVERNALE PER I PERSONALE VIAGGIANTE DI SVT,NON_CLASSIFICATO,2024-02-29,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9849062713,SOLVENTUM ITALY SRL,Veneto,VERONA,9849062713,149430.0,"GARA N. 364/2023/P.BS PROCEDURA NEGOZIATA TELEMATICA SU PIATTAFORMA SINTEL, AI SENSI DELL'ART. 1, COMMA 2, LETTERA B, DEL D.L. N. 76/2020, CONVERTITO CON L. N. 120/2020 E DAL DECRETO SEMPLIFICAZIONI B",NON_CLASSIFICATO,2024-04-02,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-A04EFAE31E,DOLOMITI ENERGIA SOCIETA' PER AZIONI,Veneto,BRENDOLA,A04EFAE31E,10164.0,FORNITURA GAS NATURALE EDIFICI DI PROPRIETA' COMUNALE CON DECORRENZA DAL 01/04/2024 E PER LA DURATA DI 12 MESI,NON_CLASSIFICATO,2024-04-12,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-A047C71A1D,A.F. PETROLI SPA,Veneto,PONZANO VENETO,A047C71A1D,8196.72,FORNITURA GASOLIO RISCALDAMENTO PER SCUOLA PRIMARIA E. GASTALDO,NON_CLASSIFICATO,2024-01-08,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8944612F50,CSL BEHRING S.P.A.,Veneto,PADOVA,8944612F50,62500000.0,"FORNITURA DEL SERVIZIO RELATIVO AL RITIRO, TRASFERIMENTO NELLO STABILIMENTO DI LAVORAZIONE, TRASFORMAZIONE DEL PLASMA PRODOTTO DALLE STRUTTURE TRASFUSIONALI DELLE REGIONI ABRUZZO, BASILICATA, FRIULI V",GARE_MEDIUM,2021-10-06,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-893936013E,ALSTOM FERROVIARIA S.P.A.,Veneto,PADOVA,893936013E,37091800.0,"CONTRATTO APPLICATIVO PER LA FORNITURA DI N.6 TRENI A MEDIA CAPACITÀ DI TIPO BIDIREZIONALE, A TRAZIONE ELETTRICA, MONOPIANO, COMPOSIZIONE BLOCCATA, POTENZA DISTRIBUITA (EMU) E VELOCITÀ MASSIMA PARI A ",GARE_MEDIUM,2021-10-18,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,FORNITURE,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9336640710,SMART PARKING SYSTEMS SRL,Veneto,TREVISO,9336640710,4668415.85,AFFIDAMENTO DELLA FORNITURA E INSTALLAZIONE DI UN SISTEMA TECNOLOGICO PER LA GESTIONE DELLA SOSTA E DEL SERVIZIO DI GESTIONE DELLA SOSTA CON PARCHEGGI A PAGAMENTO,GARE_MEDIUM,2024-11-20,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,MISTO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9814080305,SEPRO SRL,Veneto,VENEZIA,9814080305,1199000.0,"BS 243-23MS SERVIZIO DI NOLEGGIO CASSONI CENTINATI, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI CHIOGGIA (VE). LOTTO 4.",GARE_MEDIUM,2024-05-03,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9814135069,SEPRO SRL,Veneto,VENEZIA,9814135069,587450.0,"BS 243-23MS SERVIZIO DI NOLEGGIO CASSONI CENTINATI, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI JESOLO (VE). LOTTO 6",GARE_MEDIUM,2024-05-03,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-981404889B,VALLI SPA,Veneto,VENEZIA,981404889B,459980.0,"BS 243-23MS SERVIZIO DI NOLEGGIO VASCA, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI, CAVALLINO TREPORTI (VE) LOTTO 3.",NON_CLASSIFICATO,2024-05-03,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9035054A6B,BOSTON SCIENTIFIC SPA,Veneto,PADOVA,9035054A6B,265518.0,LOTTO 26,NON_CLASSIFICATO,2024-06-20,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-90925712F5,COSBRENTA SRL,Veneto,COLCERESA,90925712F5,171242.6,REALIZZAZIONE DEGLI SPOGLIATOI DEL CAMPO DA CALCIO COMUNALE IN VIA DON G. VIGOLO,GARE_MEDIUM,2024-03-15,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8934103F03,SURGILINE,Veneto,PADOVA,8934103F03,83434.05,LOTTO 16,NON_CLASSIFICATO,2024-06-20,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-97904105EA,CHEMIL S.R.L.,Veneto,VICENZA,97904105EA,82680.0,DEFLUSSORE STANDARD PER INFUSIONE VENOSA AD UNA VIA,NON_CLASSIFICATO,2024-01-11,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9790422FCE,F.A.S.E. SRL,Veneto,VICENZA,9790422FCE,60000.0,DEFLUSSORE STANDARD PER INFUSIONE VENOSA CON PUNTO D'INIEZIONE AD Y,NON_CLASSIFICATO,2024-01-11,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9830470878,BOXXAPPS S.R.L,Veneto,VILLAFRANCA DI VERONA,9830470878,16675.0,P.N.R.R. AVVISO MISURA 1.3.1 PIATTAFORMA DIGITALE NAZIONALE DATI,NON_CLASSIFICATO,2025-05-26,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,NON_CLASSIFICATO,OFFICIAL_SHADOW_INGEST,,,
